description,category
Spotify +tax 2131.18,ENTERTAINMENT
1mg Pharmacy Mumbai,HEALTH
Croma 7797.36 INR,SHOPPING
Indian Oil online,FUEL
Nykaa GPay txn 8002,SHOPPING
Upstox IN,INVESTMENT
RedBus Bangalore,TRANSPORT
BWSSB Water POS 428,UTILITIES
ICICI Payroll order 8681,INCOME
Employer Inc online,INCOME
Fortis Hospital #9042,HEALTH
Motilal Oswal Mumbai,INVESTMENT
Zomato 3274.83,RESTAURANTS
Airport Taxi Bangalore,TRANSPORT
Indian Oil IN,FUEL
BESCOM -promo,UTILITIES
NestAway order 9058,RENT
Gaana #7713,ENTERTAINMENT
Mahanagar Gas online,UTILITIES
AWS Subscription Mumbai,SUBSCRIPTIONS
JioFiber -promo,UTILITIES
Nature's Basket order 9888,GROCERIES
Indian Coffee House 4519.80 INR,RESTAURANTS
SBI Bank Mumbai,BANKING
BWSSB Water online,UTILITIES
Apartment Dues #362,RENT
Zerodha IN,INVESTMENT
Swiggy GPay txn 4136,RESTAURANTS
Air India -promo,TRAVEL
School Payment 1984.77,EDUCATION
Nature's Basket IN,GROCERIES
Udemy order 9933,EDUCATION
IndiGo ACH 1199,TRAVEL
Yatra.com 2933.63,TRAVEL
Nature's Basket online,GROCERIES
Rapido online,TRANSPORT
Uber Bangalore,TRANSPORT
BookMyShow GPay txn 9435,ENTERTAINMENT
Landlord Bangalore,RENT
Bharat Petroleum 4475.94,FUEL
Nature's Basket UPI 7113,GROCERIES
Ajio 7829.16 INR,SHOPPING
BookMyShow order 4502,ENTERTAINMENT
Motilal Oswal ACH 1860,INVESTMENT
HPCL Fuel NEFT 6952,FUEL
Airport Taxi UPI 2304,TRANSPORT
College Fee Bangalore,EDUCATION
1mg Pharmacy 1252.64 INR,HEALTH
Zepto App 97.20,GROCERIES
Zepto ACH 2303,GROCERIES
Grocery Market POS 3634,GROCERIES
Ola 7196.67,TRANSPORT
Employer Inc online,INCOME
IRCTC POS 9893,TRANSPORT
IRCTC ACH 4616,TRANSPORT
ICICI Bank Mumbai,BANKING
Upstox POS 5719,INVESTMENT
Flipkart UPI 7764,SHOPPING
Udemy online,EDUCATION
Landlord #9287,RENT
BWSSB Water Bangalore,UTILITIES
Netflix POS 8833,ENTERTAINMENT
Zommato online,RESTAURANTS
Kotak Bank #2035,BANKING
Angel One 5205.23,INVESTMENT
Haldirams ACH 7455,RESTAURANTS
Kotak Bank order 9016,BANKING
Salary Credit -promo,INCOME
ICICI Bank +tax 7436.31,BANKING
Mahanagar Gas #1365,UTILITIES
Disney+ Hotstar POS 2762,ENTERTAINMENT
JioFiber Mumbai,UTILITIES
Tanishq -promo,SHOPPING
Tanishq +tax 9746.20,SHOPPING
Apollo Clinic IN,HEALTH
Pharmeasy 6610.76,HEALTH
School Payment UPI 8943,EDUCATION
Reliance Fuel 533.61 INR,FUEL
SBI Bank #7907,BANKING
BookMyShow 3116.83,ENTERTAINMENT
HPCL Fuel POS 4292,FUEL
Bharat Petroleum NEFT 8275,FUEL
Angel One IN,INVESTMENT
HDFC Securities 3563.21,INVESTMENT
Airport Taxi GPay txn 1358,TRANSPORT
Pharmeasy POS 7475,HEALTH
Grocery Market online,GROCERIES
Prime Music 8311.02 INR,ENTERTAINMENT
Vistara UPI 9861,TRAVEL
Reliance Fresh IN,GROCERIES
Swiggy 9235.76 INR,RESTAURANTS
Sony LIV ACH 2062,ENTERTAINMENT
More Supermarket UPI 9299,GROCERIES
Rapido #1253,TRANSPORT
Vistara Bangalore,TRAVEL
Great Learning 664.32,EDUCATION
Disney+ Hotstar UPI 3201,ENTERTAINMENT
Zerodha NEFT 1661,INVESTMENT
Airport Taxi order 3542,TRANSPORT
HDFC Securities +tax 6877.49,INVESTMENT
Doctor Visit order 8385,HEALTH
Uber POS 1272,TRANSPORT
HDFC Payroll IN,INCOME
Air India 9320.98 INR,TRAVEL
Headspace online,SUBSCRIPTIONS
Mahanagar Gas order 6390,UTILITIES
Sharekhan Bangalore,INVESTMENT
Kotak Bank NEFT 7328,BANKING
BESCOM Bangalore,UTILITIES
Employer Inc UPI 3051,INCOME
Nature's Basket Mumbai,GROCERIES
BigBasket order 3014,GROCERIES
Landlord Mumbai,RENT
IndiGo 6198.95,TRAVEL
HDFC Bank #8765,BANKING
Unacademy IN,EDUCATION
HDFC Payroll 2939.82,INCOME
Amazon India order 6466,SHOPPING
Doctor Visit NEFT 6855,HEALTH
Zerodha IN,INVESTMENT
Angel One NEFT 3334,INVESTMENT
Groww GPay txn 7815,INVESTMENT
NestAway +tax 3611.74,RENT
More Supermarket Bangalore,GROCERIES
Kotak Bank POS 8551,BANKING
ICICI Direct 684.81,INVESTMENT
RedBus #475,TRANSPORT
Landlord -promo,RENT
Employer Inc -promo,INCOME
Croma 6412.45 INR,SHOPPING
GoFirst Bangalore,TRAVEL
Salary Credit +tax 5096.73,INCOME
ICICI Direct online,INVESTMENT
Gaana POS 4140,ENTERTAINMENT
Amazon Prime Video 6409.96,ENTERTAINMENT
HDFC Bank ACH 3358,BANKING
Byju's online,EDUCATION
Sharekhan Mumbai,INVESTMENT
HPCL Fuel -promo,FUEL
Airtel Fiber +tax 9057.60,UTILITIES
Vistara ACH 1698,TRAVEL
YouTube Premium +tax 1431.64,SUBSCRIPTIONS
1mg Pharmacy POS 1668,HEALTH
BESCOM POS 1775,UTILITIES
Airtel Fiber order 3015,UTILITIES
Yatra.com order 1342,TRAVEL
Doctor Visit 9851.03,HEALTH
Angel One 6155.81 INR,INVESTMENT
Cafe Coffee Day #2964,RESTAURANTS
Reliance Fuel order 1221,FUEL
Fortis Hospital 8772.55,HEALTH
UpGrad 5476.19 INR,EDUCATION
Employer Inc +tax 8723.13,INCOME
Airport Taxi 9745.06 INR,TRANSPORT
Axis Bank +tax 5171.72,BANKING
Ola POS 2558,TRANSPORT
NoBroker Rent +tax 1545.66,RENT
NoBroker Rent NEFT 3852,RENT
HDFC Payroll 8749.48 INR,INCOME
Uber NEFT 6648,TRANSPORT
Ola -promo,TRANSPORT
Barbeque Nation GPay txn 1585,RESTAURANTS
Hotel Booking ACH 5489,TRAVEL
ICICI Payroll ACH 1531,INCOME
OYO Rooms 6550.31,TRAVEL
Swggy ACH 365,RESTAURANTS
Kotak Bank POS 4077,BANKING
Coursera NEFT 9154,EDUCATION
Air India Bangalore,TRAVEL
Myntra -promo,SHOPPING
Reliance Fuel UPI 7952,FUEL
Prime Music +tax 2338.90,ENTERTAINMENT
College Fee Bangalore,EDUCATION
SBI Bank #9902,BANKING
Amazon India ACH 5308,SHOPPING
Nykaa ACH 3877,SHOPPING
Mutual Fund +tax 901.90,INVESTMENT
Disney+ Hotstar 8587.32,ENTERTAINMENT
Grocery Market #6116,GROCERIES
Bharat Petroleum -promo,FUEL
SBI Bank #2831,BANKING
Axis Bank #1571,BANKING
Pharmeasy Mumbai,HEALTH
Hotel Booking #7682,TRAVEL
Kotak Bank POS 7888,BANKING
BESCOM 1880.55 INR,UTILITIES
OYO Rooms Bangalore,TRAVEL
BigBasket POS 7102,GROCERIES
Mahanagar Gas order 3681,UTILITIES
IndiGo online,TRAVEL
MSEB Electricity #7558,UTILITIES
BWSSB Water online,UTILITIES
GoFirst ACH 2654,TRAVEL
School Payment -promo,EDUCATION
ICICI Bank Mumbai,BANKING
BWSSB Water UPI 8865,UTILITIES
IRCTC +tax 959.91,TRANSPORT
Employer Inc order 4784,INCOME
HDFC Bank Mumbai,BANKING
1mg Pharmacy -promo,HEALTH
Haldirams -promo,RESTAURANTS
Haldirams Mumbai,RESTAURANTS
Grocery Market GPay txn 272,GROCERIES
Fortis Hospital ACH 4668,HEALTH
Vistara 8560.13,TRAVEL
Haldirams UPI 5008,RESTAURANTS
Zomato -promo,RESTAURANTS
SBI Bank 1521.69 INR,BANKING
Kotak Bank 1619.43,BANKING
GoFirst order 4999,TRAVEL
Zept0 ACH 4367,GROCERIES
Canva Pro IN,SUBSCRIPTIONS
AWS Subscription ACH 211,SUBSCRIPTIONS
NoBroker Rent order 3111,RENT
Dominos NEFT 7201,RESTAURANTS
GoFirst POS 3380,TRAVEL
MSEB Electricity IN,UTILITIES
Barbeque Nation 7672.21 INR,RESTAURANTS
Paycheck Bangalore,INCOME
JioFiber 3369.13 INR,UTILITIES
Kotak Bank POS 2937,BANKING
Doctor Visit order 7531,HEALTH
NoBroker Rent Bangalore,RENT
Salary Credit order 3781,INCOME
ICICI Payroll 8396.42 INR,INCOME
Rapido 9230.47,TRANSPORT
Yatra.com -promo,TRAVEL
Reliance Fuel UPI 5252,FUEL
Nature's Basket online,GROCERIES
Amazon Prime Video UPI 3803,ENTERTAINMENT
Bharat Petroleum -promo,FUEL
Zept0 Mumbai,GROCERIES
Nature's Basket 8875.98,GROCERIES
IndiGo -promo,TRAVEL
Indian Oil NEFT 8224,FUEL
Nature's Basket #6330,GROCERIES
Zepto GPay txn 2327,GROCERIES
Myntra IN,SHOPPING
Axis Bank NEFT 5719,BANKING
Airport Taxi +tax 4508.62,TRANSPORT
Amazon Prime Video Bangalore,ENTERTAINMENT
YouTube Premium GPay txn 2519,SUBSCRIPTIONS
Airport Taxi ACH 5740,TRANSPORT
Amazon Web Services -promo,SUBSCRIPTIONS
Byju's 8880.02 INR,EDUCATION
YouTube Premium ACH 4534,SUBSCRIPTIONS
HPCL Fuel IN,FUEL
HPCL Fuel online,FUEL
BigBasket Mumbai,GROCERIES
Apartment Dues UPI 4127,RENT
HDFC Payroll 6037.34,INCOME
Cult.fit Bangalore,SUBSCRIPTIONS
Dominos UPI 1870,RESTAURANTS
Rent Payment UPI 3186,RENT
Bharat Petroleum 1073.60,FUEL
Paycheck Mumbai,INCOME
Amazon Web Services order 3653,SUBSCRIPTIONS
Employer Inc +tax 573.14,INCOME
Reliance Fuel Mumbai,FUEL
BWSSB Water GPay txn 9616,UTILITIES
IndiGo 5908.02 INR,TRAVEL
Croma order 4227,SHOPPING
Indian Coffee House +tax 1812.09,RESTAURANTS
NoBroker Rent Bangalore,RENT
Bharat Petroleum order 6347,FUEL
Groww NEFT 6436,INVESTMENT
Amazon Prime Video +tax 5561.74,ENTERTAINMENT
BWSSB Water #1173,UTILITIES
Apollo Clinic online,HEALTH
Apollo Clinic ACH 5099,HEALTH
ICICI Payroll UPI 7201,INCOME
Nykaa +tax 3127.73,SHOPPING
Bharat Petroleum #9955,FUEL
Cult.fit #4660,SUBSCRIPTIONS
Tanishq +tax 1711.91,SHOPPING
Gaana UPI 6374,ENTERTAINMENT
Reliance Fresh POS 2843,GROCERIES
Haldirams order 2276,RESTAURANTS
Mahanagar Gas -promo,UTILITIES
Coursera UPI 4031,EDUCATION
ICICI Bank online,BANKING
Airport Taxi +tax 8003.52,TRANSPORT
HDFC Payroll Bangalore,INCOME
Tanishq #4839,SHOPPING
Ola #8517,TRANSPORT
Uber 2671.61,TRANSPORT
Angel One order 9578,INVESTMENT
HDFC +tax 3760.71,BANKING
BESCOM ACH 4025,UTILITIES
Sharekhan -promo,INVESTMENT
YouTube Premium IN,SUBSCRIPTIONS
GoFirst -promo,TRAVEL
Angel One 2320.26,INVESTMENT
NoBroker Rent GPay txn 1756,RENT
Mahanagar Gas IN,UTILITIES
Apartment Dues online,RENT
Apartment Dues Mumbai,RENT
Haldirams GPay txn 7139,RESTAURANTS
NoBroker Rent #8359,RENT
Employer Inc #2713,INCOME
Reliance Fuel order 2976,FUEL
OYO Rooms POS 4006,TRAVEL
NoBroker Rent POS 8680,RENT
Prime Music GPay txn 2144,ENTERTAINMENT
More Supermarket GPay txn 331,GROCERIES
IRCTC -promo,TRANSPORT
SIP Investment GPay txn 7524,INVESTMENT
Fortis Hospital UPI 1991,HEALTH
OLA 2769.51 INR,TRANSPORT
Ola POS 8605,TRANSPORT
ICICI Payroll IN,INCOME
HPCL Fuel 1653.62 INR,FUEL
Amzn India ACH 1854,SHOPPING
NoBroker Rent #5257,RENT
Grocery Market #862,GROCERIES
Bharat Petroleum -promo,FUEL
BESCOM 7504.39 INR,UTILITIES
Yatra.com POS 4560,TRAVEL
Indian Coffee House online,RESTAURANTS
HPCL Fuel 4557.51 INR,FUEL
Flipkart +tax 6120.43,SHOPPING
Indian Coffee House +tax 1424.94,RESTAURANTS
Unacademy ACH 5805,EDUCATION
Tanishq IN,SHOPPING
Ola +tax 2197.65,TRANSPORT
Amazon Prime Video POS 9489,ENTERTAINMENT
SBI Bank NEFT 8043,BANKING
Amazon Web Services ACH 6558,SUBSCRIPTIONS
Employer Inc order 4151,INCOME
Barbeque Nation IN,RESTAURANTS
Cafe Coffee Day GPay txn 376,RESTAURANTS
Indian Coffee House IN,RESTAURANTS
Landlord GPay txn 2562,RENT
Apartment Dues 2379.50,RENT
College Fee 1443.81,EDUCATION
HDFC Payroll IN,INCOME
HDFC Securities ACH 9370,INVESTMENT
ICICI Payroll +tax 5564.41,INCOME
Gaana 9462.26 INR,ENTERTAINMENT
1mg Pharmacy online,HEALTH
Nature's Basket Mumbai,GROCERIES
Doctor Visit 5828.05,HEALTH
IRCTC UPI 9917,TRANSPORT
Indian Coffee House -promo,RESTAURANTS
Upstox -promo,INVESTMENT
Paycheck order 5076,INCOME
HPCL Fuel #3359,FUEL
Rapido ACH 1945,TRANSPORT
ICICI Bank NEFT 2082,BANKING
Airtel Fiber 2640.88,UTILITIES
Headspace 6002.75 INR,SUBSCRIPTIONS
Kotak Bank IN,BANKING
1mg Pharmacy Bangalore,HEALTH
Swggy Mumbai,RESTAURANTS
Rent Payment ACH 4290,RENT
Apartment Dues ACH 4119,RENT
HDFC Securities UPI 2414,INVESTMENT
BWSSB Water Bangalore,UTILITIES
Fortis Hospital +tax 1251.52,HEALTH
Canva Pro Mumbai,SUBSCRIPTIONS
UpGrad 235.15 INR,EDUCATION
Rapido 1337.88,TRANSPORT
Angel One IN,INVESTMENT
ICICI Bank IN,BANKING
Great Learning #6990,EDUCATION
Airport Taxi -promo,TRANSPORT
Dropbox plan 5334.80,SUBSCRIPTIONS
Sharekhan UPI 4654,INVESTMENT
Paycheck UPI 8420,INCOME
Apollo Clinic 4795.36 INR,HEALTH
Amazon Web Services Bangalore,SUBSCRIPTIONS
Myntr Bangalore,SHOPPING
Sony LIV UPI 7003,ENTERTAINMENT
Motilal Oswal -promo,INVESTMENT
1mg Pharmacy Bangalore,HEALTH
Coursera GPay txn 7073,EDUCATION
Groww GPay txn 8755,INVESTMENT
GoFirst IN,TRAVEL
Fortis Hospital NEFT 470,HEALTH
Airtel Fiber UPI 6789,UTILITIES
Airport Taxi IN,TRANSPORT
More Supermarket #3386,GROCERIES
Headspace order 8763,SUBSCRIPTIONS
Landlord IN,RENT
Reliance Fresh IN,GROCERIES
UpGrad 5616.01 INR,EDUCATION
HPCL Fuel online,FUEL
BigBasket online,GROCERIES
Groww 2839.78,INVESTMENT
Vistara Bangalore,TRAVEL
Cafe Coffee Day IN,RESTAURANTS
UpGrad Mumbai,EDUCATION
Headspace Bangalore,SUBSCRIPTIONS
Landlord Mumbai,RENT
Angel One +tax 7415.57,INVESTMENT
Swiggy 4087.51 INR,RESTAURANTS
Indian Oil 6402.64 INR,FUEL
BESCOM IN,UTILITIES
Udemy IN,EDUCATION
Nykaa #2644,SHOPPING
Canva Pro #822,SUBSCRIPTIONS
Unacademy GPay txn 3973,EDUCATION
Airtel Fiber NEFT 8022,UTILITIES
Dropbox plan POS 3859,SUBSCRIPTIONS
Cult.fit NEFT 5114,SUBSCRIPTIONS
Rapido +tax 5237.57,TRANSPORT
Uber GPay txn 616,TRANSPORT
Pharmeasy #8408,HEALTH
Flipkart POS 9392,SHOPPING
Unacademy Bangalore,EDUCATION
Employer Inc #5746,INCOME
SIP Investment Mumbai,INVESTMENT
Myntr online,SHOPPING
Pharmeasy UPI 4525,HEALTH
Apollo Clinic Mumbai,HEALTH
Indian Oil GPay txn 6353,FUEL
BWSSB Water UPI 7453,UTILITIES
Bharat Petroleum order 9742,FUEL
BigBasket #108,GROCERIES
Doctor Visit -promo,HEALTH
Amazon Web Services online,SUBSCRIPTIONS
UpGrad online,EDUCATION
Kotak Bank IN,BANKING
HDFC Securities order 9794,INVESTMENT
Employer Inc NEFT 190,INCOME
JioFiber 9596.08 INR,UTILITIES
JioFiber IN,UTILITIES
AWS Subscription order 1107,SUBSCRIPTIONS
Airtel Fiber Bangalore,UTILITIES
AWS Subscription online,SUBSCRIPTIONS
Uber order 8601,TRANSPORT
Landlord order 1522,RENT
BigBasket order 2725,GROCERIES
Employer Inc GPay txn 819,INCOME
Prime Music #1630,ENTERTAINMENT
Rent Payment POS 7838,RENT
Employer Inc ACH 1022,INCOME
NestAway -promo,RENT
SIP Investment Bangalore,INVESTMENT
Zomato Bangalore,RESTAURANTS
Kotak Bank +tax 6367.70,BANKING
Haldirams IN,RESTAURANTS
Ola NEFT 8910,TRANSPORT
Fortis Hospital +tax 7082.74,HEALTH
Disney+ Hotstar NEFT 4908,ENTERTAINMENT
BWSSB Water POS 2880,UTILITIES
Angel One #8485,INVESTMENT
Groww NEFT 7235,INVESTMENT
Doctor Visit ACH 9191,HEALTH
OLA +tax 6668.43,TRANSPORT
Mutual Fund POS 3265,INVESTMENT
School Payment IN,EDUCATION
Salary Credit online,INCOME
Upstox GPay txn 848,INVESTMENT
PVR Cinemas -promo,ENTERTAINMENT
Vistara GPay txn 8651,TRAVEL
Yatra.com GPay txn 7438,TRAVEL
Employer Inc -promo,INCOME
Zerodha ACH 8781,INVESTMENT
Coursera GPay txn 444,EDUCATION
MakeMyTrip GPay txn 678,TRAVEL
Motilal Oswal NEFT 8447,INVESTMENT
AWS Subscription IN,SUBSCRIPTIONS
Groww ACH 7162,INVESTMENT
Indian Coffee House NEFT 7918,RESTAURANTS
Dominos Bangalore,RESTAURANTS
IRCTC -promo,TRANSPORT
Doctor Visit GPay txn 9498,HEALTH
Ajio +tax 5534.82,SHOPPING
NoBroker Rent -promo,RENT
Sviggy 784.70 INR,RESTAURANTS
Coursera #3434,EDUCATION
MSEB Electricity -promo,UTILITIES
Croma -promo,SHOPPING
Prime Music POS 8450,ENTERTAINMENT
Zerodha POS 1160,INVESTMENT
Tanishq order 8859,SHOPPING
Cafe Coffee Day UPI 565,RESTAURANTS
Paycheck 904.22,INCOME
Sony LIV 4196.55,ENTERTAINMENT
Canva Pro Mumbai,SUBSCRIPTIONS
Udemy online,EDUCATION
Groww ACH 9595,INVESTMENT
ICICI Bank POS 7171,BANKING
ICICI Bank +tax 5218.48,BANKING
Groww NEFT 2020,INVESTMENT
Tanishq POS 6216,SHOPPING
Myntra online,SHOPPING
IndiGo #9890,TRAVEL
Pharmeasy 7638.23 INR,HEALTH
BWSSB Water UPI 9222,UTILITIES
NoBroker Rent GPay txn 3003,RENT
IRCTC Mumbai,TRANSPORT
Udemy Mumbai,EDUCATION
Grocery Market IN,GROCERIES
Canva Pro NEFT 4389,SUBSCRIPTIONS
Yatra.com GPay txn 6770,TRAVEL
Axis Bank Bangalore,BANKING
Employer Inc GPay txn 7604,INCOME
1mg Pharmacy #4932,HEALTH
Sony LIV ACH 7220,ENTERTAINMENT
Zomato UPI 468,RESTAURANTS
Croma online,SHOPPING
YouTube Premium Mumbai,SUBSCRIPTIONS
GoFirst -promo,TRAVEL
Croma 8169.47 INR,SHOPPING
Barbeque Nation online,RESTAURANTS
NestAway online,RENT
Reliance Fuel 8983.99 INR,FUEL
Groww NEFT 3119,INVESTMENT
SBI Bank order 5957,BANKING
Salary Credit POS 1751,INCOME
Kotak Bank ACH 8299,BANKING
RedBus IN,TRANSPORT
Reliance Fuel IN,FUEL
Grocery Market NEFT 2789,GROCERIES
Reliance Fuel online,FUEL
Bharat Petroleum #2253,FUEL
MSEB Electricity online,UTILITIES
Axis Bank Bangalore,BANKING
Prime Music UPI 8296,ENTERTAINMENT
JioFiber 5327.54 INR,UTILITIES
Bharat Petroleum #5881,FUEL
NoBroker Rent UPI 1162,RENT
ICICI Payroll online,INCOME
Apollo Clinic #3972,HEALTH
Unacademy 1836.51,EDUCATION
Apartment Dues 5821.22,RENT
BWSSB Water #7206,UTILITIES
Sharekhan NEFT 6037,INVESTMENT
ICICI Bank 7623.30,BANKING
Flipkart UPI 9503,SHOPPING
PVR Cinemas POS 6985,ENTERTAINMENT
BookMyShow POS 5874,ENTERTAINMENT
Nature's Basket Mumbai,GROCERIES
Apollo Clinic UPI 6323,HEALTH
Ajio +tax 2215.41,SHOPPING
Air India POS 8198,TRAVEL
Disney+ Hotstar online,ENTERTAINMENT
Axis Bank UPI 143,BANKING
RedBus UPI 5235,TRANSPORT
AWS Subscription 6221.37 INR,SUBSCRIPTIONS
Amazon India Mumbai,SHOPPING
BESCOM #8389,UTILITIES
JioFiber Bangalore,UTILITIES
BookMyShow 7914.53 INR,ENTERTAINMENT
HPCL Fuel #9403,FUEL
Grocery Market IN,GROCERIES
Grocery Market order 1582,GROCERIES
Rapido GPay txn 148,TRANSPORT
Pharmeasy ACH 7695,HEALTH
Rapido POS 4140,TRANSPORT
NestAway order 6221,RENT
Headspace IN,SUBSCRIPTIONS
Headspace GPay txn 8600,SUBSCRIPTIONS
Apollo Clinic 2694.09 INR,HEALTH
IndiGo ACH 805,TRAVEL
Blinkit Bangalore,GROCERIES
Nykaa GPay txn 591,SHOPPING
Blinkit order 3689,GROCERIES
MSEB Electricity Bangalore,UTILITIES
Uber UPI 4256,TRANSPORT
PVR Cinemas GPay txn 9906,ENTERTAINMENT
ICICI Payroll ACH 4827,INCOME
HDFC Securities GPay txn 3178,INVESTMENT
Motilal Oswal 4406.07 INR,INVESTMENT
Reliance Fuel UPI 6089,FUEL
IRCTC ACH 7941,TRANSPORT
Spotify online,ENTERTAINMENT
GoFirst ACH 892,TRAVEL
Indian Coffee House order 360,RESTAURANTS
Apartment Dues IN,RENT
Zepto Mumbai,GROCERIES
Zerodha POS 3390,INVESTMENT
GoFirst Bangalore,TRAVEL
NestAway ACH 463,RENT
Employer Inc online,INCOME
HPCL Fuel IN,FUEL
Rent Payment GPay txn 120,RENT
Hotel Booking 923.90 INR,TRAVEL
IndianOil 9396.86 INR,FUEL
Paycheck +tax 5724.22,INCOME
Ajio Mumbai,SHOPPING
Apollo Clinic online,HEALTH
Myntr Bangalore,SHOPPING
PVR Cinemas NEFT 2073,ENTERTAINMENT
Nykaa online,SHOPPING
Kotak Bank 8667.15,BANKING
Pharmeasy GPay txn 3591,HEALTH
OYO Rooms GPay txn 3919,TRAVEL
Myntra 8176.10 INR,SHOPPING
Amazon Prime Video ACH 6242,ENTERTAINMENT
Amazon.in IN,SHOPPING
Kotak Bank +tax 235.81,BANKING
More Supermarket online,GROCERIES
Bharat Petroleum Mumbai,FUEL
Paycheck #4247,INCOME
Reliance Fuel -promo,FUEL
GoFirst Mumbai,TRAVEL
HDFC Payroll #8721,INCOME
BookMyShow UPI 9519,ENTERTAINMENT
MakeMyTrip -promo,TRAVEL
College Fee online,EDUCATION
ICICI Bank order 6668,BANKING
Ola UPI 686,TRANSPORT
AWS Subscription Mumbai,SUBSCRIPTIONS
Nature's Basket Bangalore,GROCERIES
BESCOM 5446.39 INR,UTILITIES
Zept0 Mumbai,GROCERIES
HDFC Payroll Mumbai,INCOME
Sharekhan #5075,INVESTMENT
Amazon Web Services 8586.31,SUBSCRIPTIONS
Barbeque Nation 7536.80,RESTAURANTS
BookMyShow -promo,ENTERTAINMENT
Apollo Clinic +tax 9323.03,HEALTH
Airtel Fiber online,UTILITIES
Coursera Bangalore,EDUCATION
HDFC Payroll POS 6069,INCOME
Pharmeasy IN,HEALTH
Flipkart online,SHOPPING
Indian Coffee House 1250.75,RESTAURANTS
Barbeque Nation 6524.47 INR,RESTAURANTS
Rent Payment 1572.74,RENT
NoBroker Rent 6719.42 INR,RENT
Prime Music GPay txn 1514,ENTERTAINMENT
Groww Bangalore,INVESTMENT
HDFC Payroll 4080.25 INR,INCOME
Headspace Bangalore,SUBSCRIPTIONS
Amazon Prime Video Bangalore,ENTERTAINMENT
YouTube Premium 8873.19 INR,SUBSCRIPTIONS
Rent Payment order 6287,RENT
HDFC Bank 8106.28,BANKING
Mahanagar Gas +tax 2432.40,UTILITIES
Amazon Prime Video online,ENTERTAINMENT
Uber POS 3594,TRANSPORT
Myntra POS 7488,SHOPPING
Swiggy Mumbai,RESTAURANTS
BESCOM 1447.50 INR,UTILITIES
Myntra +tax 3940.23,SHOPPING
HPCL Fuel POS 6523,FUEL
Hotel Booking +tax 1202.87,TRAVEL
NestAway +tax 6618.98,RENT
HPCL Fuel GPay txn 5126,FUEL
Rent Payment +tax 4768.24,RENT
Unacademy order 1065,EDUCATION
JioFiber 4449.71 INR,UTILITIES
Cafe Coffee Day ACH 6989,RESTAURANTS
Sharekhan order 7585,INVESTMENT
Croma order 1231,SHOPPING
1mg Pharmacy 3781.79 INR,HEALTH
Mutual Fund +tax 2073.41,INVESTMENT
Gaana online,ENTERTAINMENT
IndiGo POS 2926,TRAVEL
Great Learning GPay txn 8711,EDUCATION
Landlord Bangalore,RENT
Nykaa UPI 8775,SHOPPING
Grocery Market +tax 9136.79,GROCERIES
Dominos #7228,RESTAURANTS
Amazon Web Services IN,SUBSCRIPTIONS
Reliance Fresh IN,GROCERIES
HPCL Fuel online,FUEL
Reliance Fuel online,FUEL
Employer Inc #5786,INCOME
Employer Inc order 4109,INCOME
Coursera GPay txn 3952,EDUCATION
Uber India NEFT 2584,TRANSPORT
Amazon Web Services UPI 6956,SUBSCRIPTIONS
1mg Pharmacy 963.33 INR,HEALTH
Haldirams GPay txn 3240,RESTAURANTS
Sharekhan ACH 2212,INVESTMENT
Vistara 7803.43,TRAVEL
SIP Investment #9179,INVESTMENT
BWSSB Water -promo,UTILITIES
Canva Pro GPay txn 8861,SUBSCRIPTIONS
RedBus UPI 8202,TRANSPORT
Croma UPI 7836,SHOPPING
Airtel Fiber POS 6569,UTILITIES
Ola ACH 8670,TRANSPORT
Indian Oil Mumbai,FUEL
Cult.fit #8241,SUBSCRIPTIONS
Haldirams +tax 2870.73,RESTAURANTS
HDFC Payroll ACH 9221,INCOME
Reliance Fresh 3274.13 INR,GROCERIES
Airport Taxi 8234.80,TRANSPORT
Reliance Fuel GPay txn 3008,FUEL
Sony LIV Bangalore,ENTERTAINMENT
Apollo Clinic Bangalore,HEALTH
Ola #423,TRANSPORT
ICICI Payroll Bangalore,INCOME
HDFC Payroll order 8950,INCOME
Employer Inc Mumbai,INCOME
Groww online,INVESTMENT
Hotel Booking IN,TRAVEL
Apollo Clinic 6022.17,HEALTH
Ajio IN,SHOPPING
BigBasket #6066,GROCERIES
HDFC Bank Mumbai,BANKING
More Supermarket 8427.95,GROCERIES
Barbeque Nation Mumbai,RESTAURANTS
Nature's Basket ACH 4570,GROCERIES
Haldirams Mumbai,RESTAURANTS
Apollo Clinic IN,HEALTH
Amazon Prime Video order 4259,ENTERTAINMENT
BESCOM order 5611,UTILITIES
SBI Bank ACH 169,BANKING
Ola NEFT 2700,TRANSPORT
Vistara NEFT 590,TRAVEL
Spotify online,ENTERTAINMENT
Disney+ Hotstar -promo,ENTERTAINMENT
College Fee ACH 4078,EDUCATION
HPCL Fuel ACH 4501,FUEL
Cafe Coffee Day online,RESTAURANTS
Bharat Petroleum 8637.74,FUEL
Indian Oil GPay txn 593,FUEL
Upstox Bangalore,INVESTMENT
Rent Payment online,RENT
HPCL Fuel IN,FUEL
Rapido 6146.18,TRANSPORT
College Fee NEFT 4653,EDUCATION
AWS Subscription 3341.84,SUBSCRIPTIONS
Canva Pro ACH 3927,SUBSCRIPTIONS
BWSSB Water IN,UTILITIES
SIP Investment POS 5692,INVESTMENT
MakeMyTrip Mumbai,TRAVEL
Udemy Mumbai,EDUCATION
Airtel Fiber online,UTILITIES
Apollo Clinic Bangalore,HEALTH
